steam_appid,name,developers,publishers,categories,genres,required_age,n_achievements,platforms,is_released,release_date,additional_content,total_reviews,total_positive,total_negative,review_score,review_score_desc,positive_percentual,metacritic,is_free,price_initial (USD)
1148190,Signed and Sealed With a Kiss - Adult Patch,['Reine Works'],[],"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Family Sharing']","['Casual', 'Indie', 'Simulation']",0.0,0,"['windows', 'mac', 'linux']",True,2019-08-28,[],0,0,0,0,No user reviews,0.0,0,True,0.0
1148180,Stellar Monarch: The Age of Technology,['Silver Lemur Games'],['Silver Lemur Games'],"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Indie', 'Simulation', 'Strategy']",0.0,0,['windows'],True,2019-12-09,[],9,9,0,0,9 user reviews,100.0,0,False,9.99
1148022,Cities: Skylines - Content Creator Pack: Modern Japan,['Ryuichi Kaminogi'],['Paradox Interactive'],"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Family Sharing']","['Simulation', 'Strategy']",,0,"['windows', 'mac', 'linux']",True,2020-03-26,[],78,47,31,5,Mixed,60.3,0,False,4.99
1148021,Cities: Skylines - Downtown Radio,['Colossal Order Ltd.'],['Paradox Interactive'],"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Family Sharing']","['Simulation', 'Strategy']",,0,"['windows', 'mac', 'linux']",True,2019-11-07,[],18,14,4,6,Mostly Positive,77.8,0,False,3.99
1148020,Cities: Skylines - Content Creator Pack: Modern City Center,['Jason “AmiPolizeiFunk” Ditmars'],['Paradox Interactive'],"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Family Sharing']","['Simulation', 'Strategy']",,0,"['windows', 'mac', 'linux']",True,2019-11-07,[],80,56,24,6,Mostly Positive,70.0,0,False,4.99
1148820,Soul room - Dungeons,['Gem candy works'],['Gem candy works'],"['Single-player', 'Downloadable Content', 'Family Sharing']","['Adventure', 'Indie', 'Simulation']",0.0,0,['windows'],True,2019-08-27,[],0,0,0,0,No user reviews,0.0,0,True,0.0
1148640,Farstorm: Hoshi Character Expansion,['CG Creations'],[],"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",0.0,0,['windows'],True,2019-09-18,[],1,1,0,0,1 user reviews,100.0,0,False,2.99
1149270,IMMURE: Part Two,['Wither Studios'],['Wither Studios'],"['Single-player', 'Downloadable Content', 'Full controller support']",['Indie'],0.0,0,"['windows', 'mac', 'linux']",True,2020-12-17,[],5,5,0,0,5 user reviews,100.0,0,False,4.99
1149130,Hentai Crazy Girls - Artbook 18+,['Kotovodk Studio'],['Kotovodk Studio'],"['Single-player', 'Downloadable Content', 'Family Sharing']","['Casual', 'Indie']",0.0,0,['windows'],True,2019-09-06 00:00:00,[],1,0,1,0,1 user reviews,0.0,0,False,0.99
1148950,Hot Takes (Script Code),[],[],"['Single-player', 'Downloadable Content', 'Family Sharing']","['Casual', 'Indie']",0.0,0,"['windows', 'mac', 'linux']",True,2019-09-09 00:00:00,[],0,0,0,0,No user reviews,0.0,0,False,0.0
